seed,fold,validation_rmse,validation_mae,validation_r2,train_rmse,n_iter,reached_max_iter
42,1,0.94022885495,0.743195647347,-0.0692958491737,0.865167121061,78,False
42,2,0.985008955438,0.811326660151,-0.11800768906,0.8436901767,97,False
42,3,0.868037209404,0.693109360431,-0.0518214425845,0.90449358472,60,False
42,4,0.825653983259,0.654636894914,-0.0196456085817,0.910729276815,59,False
42,5,0.946139030976,0.763223333639,-0.0428796795549,0.835267358494,101,False
42,6,0.952032653734,0.783106939921,-0.0235523209058,0.874848649855,73,False
42,7,0.987475972233,0.780529756732,-0.162065653414,0.862478671678,77,False
42,8,1.03297823561,0.846858556585,-0.0928299707704,0.865041759572,73,False
42,9,0.913894372891,0.713044016351,-0.0984034790908,0.864630487669,80,False
42,10,0.901738593666,0.716754604758,-0.0462011677318,0.871494894182,79,False
43,1,0.92763886241,0.729817231511,-0.0408510861827,0.875424911889,77,False
43,2,0.952859880113,0.800757092014,-0.0462187893365,0.904553050508,57,False
43,3,0.905414506853,0.734833757786,-0.144353581585,0.916514752786,55,False
43,4,0.822862661083,0.631319038475,-0.01276294734,0.900107312815,66,False
43,5,0.937388985833,0.757646065913,-0.0236794391715,0.903218144224,58,False
43,6,0.96639979556,0.803339309753,-0.054678316315,0.869321512477,75,False
43,7,1.01364908646,0.793254213407,-0.224483275888,0.874056364905,66,False
43,8,1.0674820514,0.860138983446,-0.167055252701,0.842970099465,86,False
43,9,0.919967727309,0.741956359036,-0.113051036002,0.903451151421,59,False
43,10,0.88251092201,0.697077609233,-0.002060777311,0.860326762432,95,False
44,1,0.924458994433,0.72832915141,-0.0337274169052,0.845540290185,109,False
44,2,1.01391763739,0.812449779127,-0.184594707524,0.944493988996,51,False
44,3,0.889636880579,0.710534651593,-0.10481838648,0.860656992105,96,False
44,4,0.840208492167,0.641989688208,-0.0559107849652,0.84296105668,117,False
44,5,0.947342811277,0.765058274704,-0.0455350961479,0.870330946672,84,False
44,6,0.984851642533,0.810220991811,-0.0953375733723,0.936967084744,54,False
44,7,1.02594434678,0.798540431279,-0.254368665669,0.815019888486,121,False
44,8,1.08258850046,0.888341107809,-0.200320086354,0.960142738583,49,False
44,9,0.876118037981,0.703937907174,-0.00947399855637,0.83306933334,119,False
44,10,0.893572954667,0.725291494103,-0.0273393351463,0.831963203589,123,False
