iteration,loss,validation_score
1,0.643837895793,-0.346028823919
2,0.613902517758,-0.277699359564
3,0.59140451206,-0.22229758289
4,0.574154092023,-0.181452764756
5,0.560409133426,-0.155272918277
6,0.548636321617,-0.137397729124
7,0.540327038734,-0.121862937069
8,0.532702872091,-0.105734769706
9,0.526180984732,-0.0904894354938
10,0.52027665388,-0.0803231088767
11,0.515008320127,-0.0749514105333
12,0.510505075902,-0.0697987192295
13,0.506419689504,-0.0654584698046
14,0.502554208259,-0.0621690120765
15,0.499261493462,-0.0587919506095
16,0.495894044578,-0.0526457594151
17,0.492899604956,-0.0455811179498
18,0.490389223307,-0.0392633057126
19,0.487934695247,-0.0384863822144
20,0.485464872962,-0.0364161556359
21,0.483164608877,-0.0347134415832
22,0.480709299304,-0.0336599719884
23,0.478750716095,-0.0303359507189
24,0.476707141422,-0.0315725517568
25,0.474651825026,-0.034130489827
26,0.472988719468,-0.0361491913583
27,0.471074758269,-0.0373419548559
28,0.469541288883,-0.0378409447257
29,0.467823608959,-0.0342079019943
30,0.466048431645,-0.0309803291278
31,0.464557279158,-0.0305013233556
32,0.462900728974,-0.0312095697262
33,0.461537451611,-0.0324293782969
34,0.459793045549,-0.0299417148051
35,0.458557787148,-0.027205670451
36,0.457080987256,-0.028545215746
37,0.455296321457,-0.0304766652305
38,0.453658683556,-0.0347884199612
39,0.452478754081,-0.0424339979809
40,0.450873219953,-0.0442100607326
41,0.449253431944,-0.0395164851285
42,0.447919678716,-0.0362693992649
43,0.446875743604,-0.0359061655244
44,0.445702322017,-0.0366967604325
45,0.444536118844,-0.0383188469645
46,0.443133524179,-0.0430688554335
47,0.441713119803,-0.0449554894206
48,0.440514755576,-0.0470744771368
49,0.439212744366,-0.0499025773759
50,0.437928228567,-0.0521576779647
51,0.436682265937,-0.053440150383
52,0.435574975563,-0.0542067719203
53,0.434563123455,-0.0557347497744
54,0.433246757746,-0.0604353458421
55,0.432206814831,-0.0625851881278
56,0.431189321993,-0.064903939218
57,0.430164724054,-0.0692813669421
58,0.429162542326,-0.0696349121105
59,0.427791567749,-0.0658814563557
60,0.426511989715,-0.0637837892875
61,0.42519523212,-0.0659585580213
62,0.424109221276,-0.0670748460021
63,0.422744322274,-0.0666497517696
64,0.421684755505,-0.0629267469332
65,0.420755991151,-0.0612510547661
66,0.419775313136,-0.0618190492002
67,0.418667772331,-0.0651121566586
68,0.417305765531,-0.0664412930911
69,0.416254229799,-0.0722774423593
70,0.41478106732,-0.0725445645827
71,0.413528029128,-0.0730710689201
72,0.412474837189,-0.0781966488137
73,0.41114110265,-0.0826177793931
74,0.410100261063,-0.0878732753011
75,0.409036739243,-0.0860791736475
76,0.407617029805,-0.0827233066943
