task,family,variant,params_json,mean_fit_time,std_fit_time,mean_test_rmse,std_test_rmse,mean_train_rmse,mean_test_mae,std_test_mae,mean_train_mae,mean_test_r2,std_test_r2,mean_train_r2,candidate_id,split0_test_rmse,split0_train_rmse,split1_test_rmse,split1_train_rmse,split2_test_rmse,split2_train_rmse,split3_test_rmse,split3_train_rmse,split4_test_rmse,split4_train_rmse,split5_test_rmse,split5_train_rmse,split6_test_rmse,split6_train_rmse,split7_test_rmse,split7_train_rmse,split8_test_rmse,split8_train_rmse,split9_test_rmse,split9_train_rmse,rank_test_rmse
direct_tensile_strength,svr,raw,"{""model__regressor__C"": 1.0, ""model__regressor__epsilon"": 0.1, ""model__regressor__gamma"": ""scale""}",0.0249645471573,0.00113422998934,507.967806229,23.4979474879,396.676597469,401.334145351,17.7431862674,279.551208631,-0.0869014276033,0.0705166239617,0.345856812285,direct_tensile_strength:svr:raw:b9b180b76c,504.951286847,397.017586538,487.360399649,399.817385357,505.881255037,400.175105355,494.276548191,394.01539331,505.900882045,395.634989491,464.105612314,401.240600008,542.98238263,393.484460792,532.097568067,397.354899004,500.853768775,396.328952453,541.268358738,391.696602383,3
direct_tensile_strength,svr,iqr_filtered,"{""estimator__model__regressor__C"": 1.0, ""estimator__model__regressor__epsilon"": 0.1, ""estimator__model__regressor__gamma"": ""scale""}",0.0307111978531,0.000425263597202,509.581372607,23.3117216734,406.707482682,401.24072072,17.7675750028,287.978316072,-0.0936464721077,0.0675940176526,0.312348411337,direct_tensile_strength:svr:iqr_filtered:43c3f14429,508.936110436,408.251295976,486.442597934,409.544815394,503.673617045,410.261567349,491.69956185,404.980435346,507.992662312,406.360353988,475.511356541,410.408476665,542.684073814,405.469401579,535.737825563,407.327365967,495.942891864,403.483328731,547.193028711,400.987785829,3
direct_tensile_strength,svr,raw,"{""model__regressor__C"": 1.0, ""model__regressor__epsilon"": 0.05, ""model__regressor__gamma"": ""scale""}",0.0252602815628,0.000988864940357,509.911626863,24.0889014303,397.712135407,403.730601643,18.4667492268,274.813764243,-0.095115719987,0.0707485229987,0.342438703695,direct_tensile_strength:svr:raw:b84fbd4b21,505.669147732,399.018661464,489.172545562,400.495251462,507.537729577,401.360966111,493.881171984,394.808112789,508.27498716,396.455669788,466.696334143,402.557303525,543.886264137,394.237803124,537.490835082,398.322500544,501.448971236,397.176767577,545.058282013,392.688317682,4
direct_tensile_strength,svr,iqr_filtered,"{""estimator__model__regressor__C"": 1.0, ""estimator__model__regressor__epsilon"": 0.05, ""estimator__model__regressor__gamma"": ""scale""}",0.0325238227844,0.00119048726574,510.995911269,24.6885379517,407.413599333,402.916440139,19.1040697881,283.440724573,-0.0994975737405,0.0681458549109,0.30996046197,direct_tensile_strength:svr:iqr_filtered:cc7c3d849c,508.048521847,409.543814696,485.798740094,409.871073798,505.655542142,410.935388202,490.477740907,405.669274807,508.264368615,406.93649862,477.371784868,411.012270693,545.241398508,406.026064419,539.892501064,407.975619259,497.346634528,404.382283484,551.861880116,401.783705348,4
direct_tensile_strength,gradient_boosting,iqr_filtered,"{""estimator__model__learning_rate"": 0.1, ""estimator__model__max_depth"": 3, ""estimator__model__n_estimators"": 150}",0.402919626236,0.0106717829169,513.519368748,16.8630353535,323.904656876,409.062101149,17.7386434671,247.068237464,-0.115475451265,0.117065101743,0.563666561046,direct_tensile_strength:gradient_boosting:iqr_filtered:990f9ba22b,485.87449427,321.582663193,526.851637027,328.387860606,541.330355322,323.39426685,500.985674314,320.547532564,511.179756506,305.926333211,494.099462871,327.366628474,517.128173505,328.220718897,535.980276034,323.268182437,505.540948373,329.318877928,516.222909256,331.033504604,4
direct_tensile_strength,svr,raw,"{""model__regressor__C"": 3.0, ""model__regressor__epsilon"": 0.1, ""model__regressor__gamma"": ""scale""}",0.0562391757965,0.0123546145492,536.104811798,23.9419186726,326.160879971,422.852878584,17.3406306373,206.121171362,-0.212344250916,0.100105556995,0.557704511441,direct_tensile_strength:svr:raw:150e1f523e,545.687282131,321.956372014,520.907103251,329.956506917,512.235423784,327.7385246,540.885500976,321.273490213,528.920039515,326.836114308,495.717313832,332.965807314,579.478393915,322.603558487,552.14348754,329.975527386,521.173972401,327.0746393,563.899600632,321.228259176,5
direct_tensile_strength,svr,raw,"{""model__regressor__C"": 3.0, ""model__regressor__epsilon"": 0.05, ""model__regressor__gamma"": ""scale""}",0.0512205839157,0.037145023954,540.000439637,24.345843057,327.366534408,426.71849286,18.0962932292,197.41659038,-0.23024580583,0.104200645298,0.554431598193,direct_tensile_strength:svr:raw:b1e4ba402d,547.073603619,323.324477221,527.299689828,330.782888898,516.448951244,329.007992194,544.518921754,322.733060192,529.694727765,327.989774613,498.927371343,334.540416464,584.645839045,323.902250488,560.989460913,330.757859648,524.470261069,328.409455104,565.935569787,322.217169255,6
direct_tensile_strength,svr,iqr_filtered,"{""estimator__model__regressor__C"": 3.0, ""estimator__model__regressor__epsilon"": 0.1, ""estimator__model__regressor__gamma"": ""scale""}",0.037867975235,0.00373934076681,540.29262777,28.1799573014,346.947151447,427.084146033,22.4339584534,220.634755661,-0.231983916488,0.120140158265,0.499542410875,direct_tensile_strength:svr:iqr_filtered:2bb22604d5,565.150495819,348.343723336,517.938885336,349.473698054,513.225387172,352.93986472,541.331174496,340.223606651,531.109821272,345.221392986,499.765474268,349.54528348,575.054847057,346.535380848,569.085166866,351.389208911,511.377978482,343.948728233,578.887046931,341.850627252,5
direct_tensile_strength,svr,iqr_filtered,"{""estimator__model__regressor__C"": 3.0, ""estimator__model__regressor__epsilon"": 0.05, ""estimator__model__regressor__gamma"": ""scale""}",0.0367498159409,0.000441175339071,543.831044779,28.3882432334,348.313437768,430.375069547,22.8223798077,212.297495145,-0.248379260804,0.123406622911,0.495595514155,direct_tensile_strength:svr:iqr_filtered:4c2541c91b,567.687721918,350.497809492,522.300994751,350.131973561,517.112532539,354.298455195,547.229111335,341.735855316,531.981693325,347.10412384,503.220822482,351.481479877,578.572411465,347.717941375,573.793645315,352.179024655,513.79485649,345.185719962,582.616658167,342.801994406,6
matrix_filler_ratio,baseline,raw,{},0.00317742824554,0.000464664433225,0.906462520656,0.0474560546074,0.906927802872,0.719302318965,0.045479528916,0.718452316233,-0.00767817013719,0.0101915774791,0,matrix_filler_ratio:baseline:raw:44136fa355,0.909424976538,0.906704185153,0.934404512725,0.903891020412,0.854482275514,0.912742518637,0.817883139071,0.916401198588,0.928210849796,0.904591295484,0.941205636305,0.903071133603,0.931368319676,0.904422182494,0.991514033459,0.897224900758,0.873817226448,0.910571759085,0.882314237027,0.90965783451,
matrix_filler_ratio,mlp,raw,"{""model__regressor__alpha"": 0.01, ""model__regressor__hidden_layer_sizes"": [32, 16]}",0.123046278954,0.0218177685879,0.935318786217,0.0576950667478,0.869784198074,0.750578577083,0.0549455646197,0.694528839881,-0.0724702860868,0.0428644006241,0.0799111060089,matrix_filler_ratio:mlp:raw:a957c09ff4,0.94022885495,0.865167121061,0.985008955438,0.8436901767,0.868037209404,0.90449358472,0.825653983259,0.910729276815,0.946139030976,0.835267358494,0.952032653734,0.874848649855,0.987475972233,0.862478671678,1.03297823561,0.865041759572,0.913894372891,0.864630487669,0.901738593666,0.871494894182,1
matrix_filler_ratio,mlp,raw,"{""model__regressor__alpha"": 0.0001, ""model__regressor__hidden_layer_sizes"": [32, 16]}",0.128410601616,0.0160978622785,0.935713314397,0.0577719604593,0.869196285302,0.751086814803,0.055077193269,0.694044489294,-0.0733430687165,0.0423360430081,0.0811079685355,matrix_filler_ratio:mlp:raw:70936dbb2d,0.940198825161,0.865247941182,0.984977536786,0.843582260533,0.867997709977,0.904482824885,0.82567152005,0.910731830749,0.949932722603,0.829534685699,0.952120945219,0.87484721224,0.987423379692,0.862412146587,1.03300420891,0.865027939612,0.914093846201,0.864630139035,0.901712449378,0.871465872497,2
matrix_filler_ratio,mlp,iqr_filtered,"{""estimator__model__regressor__alpha"": 0.01, ""estimator__model__regressor__hidden_layer_sizes"": [32, 16]}",0.143548631668,0.0735406935907,0.937888812415,0.0544266918973,0.893415094947,0.753006886607,0.051622586794,0.71438314539,-0.0786607510247,0.0392340366233,0.0293030678036,matrix_filler_ratio:mlp:iqr_filtered:f4cb41537d,0.958331477867,0.907540144695,0.957305616235,0.856544468027,0.87030192631,0.900916640198,0.820625891288,0.918010701817,0.94567087469,0.898713652896,0.966088701305,0.880866374129,0.969005569134,0.888201024814,1.03013955515,0.885781640038,0.924716975482,0.922557247379,0.936701536684,0.875019055474,1
matrix_filler_ratio,mlp,iqr_filtered,"{""estimator__model__regressor__alpha"": 0.0001, ""estimator__model__regressor__hidden_layer_sizes"": [32, 16]}",0.112717366219,0.0175329821099,0.938063960661,0.0544280875157,0.893679116536,0.75331965203,0.0517092857008,0.714611920965,-0.079072388155,0.0394830846086,0.028748167827,matrix_filler_ratio:mlp:iqr_filtered:935dbe7aa6,0.958394960823,0.907528495301,0.957753178408,0.860020326805,0.870375877922,0.900910073062,0.820692363353,0.918032594582,0.945702016407,0.898706952291,0.966045381267,0.881053540368,0.969055088254,0.888207782608,1.03018262476,0.885816561437,0.924735216583,0.922562654559,0.937702898832,0.873952184351,2
matrix_filler_ratio,mlp,raw,"{""model__regressor__alpha"": 0.01, ""model__regressor__hidden_layer_sizes"": [16]}",0.154550814629,0.0621610879349,0.94512148605,0.0627162855352,0.889109848104,0.758708014069,0.0527046217469,0.710965655415,-0.0959863448408,0.0730957029858,0.0371203407297,matrix_filler_ratio:mlp:raw:9f303e6fb6,0.912146517622,0.943240559776,1.00362615826,0.856585073309,0.867259068505,0.890700142579,0.853585898173,0.89476773791,0.940807536675,0.874294986404,0.965606536792,0.905582261235,1.02446689634,0.865648192452,1.0460809206,0.950754945522,0.88663592646,0.861408672271,0.95099940108,0.84811590958,3
matrix_filler_ratio,mlp,raw,"{""model__regressor__alpha"": 0.0001, ""model__regressor__hidden_layer_sizes"": [16]}",0.162281847,0.0764585645522,0.945176066496,0.0627281394084,0.889109664376,0.758778255678,0.0527198307321,0.710977992599,-0.0961167429962,0.0731814253808,0.037120300135,matrix_filler_ratio:mlp:raw:b46b6767cb,0.912139337537,0.943246475196,1.00381392199,0.856541133907,0.867317951117,0.890709907434,0.853627143092,0.894776587954,0.94084556205,0.874292674009,0.96559709528,0.905590045138,1.02451273606,0.865646500251,1.04608936553,0.950762071053,0.886646058939,0.861407367775,0.951171493365,0.84812388104,4
matrix_filler_ratio,mlp,iqr_filtered,"{""estimator__model__regressor__alpha"": 0.0001, ""estimator__model__regressor__hidden_layer_sizes"": [16]}",0.191363835335,0.1110569493,0.96246609784,0.0531207661117,0.900162325932,0.768930524022,0.0470186526411,0.719991225866,-0.141564909192,0.120118934528,0.012532876087,matrix_filler_ratio:mlp:iqr_filtered:aa3dbc59b8,0.917688587327,0.960111530522,1.01701921825,0.948727046565,0.872493322501,0.884058015457,0.97250283331,0.968099794687,0.950518974055,0.876720477511,1.00785231882,0.933894026816,1.01587037571,0.858055822889,1.01563383087,0.851211600115,0.878959759414,0.88457556639,0.97612175814,0.836169378371,3
matrix_filler_ratio,mlp,iqr_filtered,"{""estimator__model__regressor__alpha"": 0.01, ""estimator__model__regressor__hidden_layer_sizes"": [16]}",0.247909808159,0.249706748476,0.962578934985,0.0531240450676,0.900112592529,0.768940986844,0.0470664396876,0.71993314802,-0.141830257132,0.120111259717,0.0126440620085,matrix_filler_ratio:mlp:iqr_filtered:134e36ea1a,0.917699651136,0.960099056893,1.01699298457,0.948717337907,0.872483287631,0.884059407404,0.972443741119,0.968079831808,0.951376622958,0.875702607561,1.00784150633,0.933880453922,1.01567885066,0.858059148761,1.01555411127,0.851274457846,0.878762486388,0.884803718322,0.976956107792,0.836449904861,4
